Symbol,Open,High,Low,PREV. CLOSE,LTP,chng,%Chng,Volume(shares),Value(₹ Crores),52W H,52W L,30 d  %chng,Today,undefined,RSI
HDFCBANK,"1,564.90","1,565.45","1,546.60","1,551.80","1,559.50",7.70,0.50,"2,32,10,770","3,613.92","1,757.50","1,363.55",1.91,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng-2.981.91,1.91,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,-2.98,,1.91,,,,,,,,,,,,100.00
TITAN,"3,329.00","3,360.00","3,290.75","3,317.65","3,333.00",15.35,0.46,"18,25,500",605.95,"3,886.95","2,833.25",1.14,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng15.141.14,1.14,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,15.14,,1.14,,,,,,,,,,,,100.00
ICICIBANK,"1,118.00","1,118.00","1,096.60","1,108.65","1,111.75",3.10,0.28,"1,85,73,956","2,058.42","1,173.00",899.00,-3.28,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng17.68-3.28,-3.28,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,17.68,,-3.28,,,,,,,,,,,,100.00
APOLLOHOSP,"5,970.00","5,975.00","5,900.00","5,934.65","5,949.65",15.00,0.25,"4,90,548",291.26,"6,874.45","4,726.00",-2.02,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng20.13-2.02,-2.02,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,20.13,,-2.02,,,,,,,,,,,,100.00
ULTRACEMCO,"9,995.00","10,176.50","9,931.10","10,038.10","10,060.05",21.95,0.22,"4,83,566",485.45,"10,526.00","7,888.00",2.67,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng23.782.67,2.67,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,23.78,,2.67,,,,,,,,,,,,100.00
ADANIPORTS,"1,384.00","1,404.00","1,344.80","1,354.60","1,357.00",2.40,0.18,"1,21,53,693","1,666.06","1,621.40",703.00,5.01,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng81.735.01,5.01,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,81.73,,5.01,,,,,,,,,,,,100.00
TATACONSUM,"1,148.00","1,148.00","1,119.60","1,142.40","1,143.50",1.10,0.10,"26,55,086",301.21,"1,269.00",784.45,4.03,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng44.224.03,4.03,100.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,44.22,,4.03,,,,,,,,,,,,100.00
DIVISLAB,"4,500.00","4,500.00","4,366.60","4,502.70","4,482.05",-20.65,-0.46,"7,90,205",350.27,"4,525.00","3,295.30",13.62,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng27.2713.62,13.62,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,27.27,,13.62,,,,,,,,,,,,100.00
SUNPHARMA,"1,494.00","1,494.00","1,455.05","1,487.30","1,474.30",-13.00,-0.87,"30,04,921",440.88,"1,638.85",977.30,-2.74,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng46.71-2.74,-2.74,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,46.71,,-2.74,,,,,,,,,,,,100.00
AXISBANK,"1,192.10","1,195.90","1,163.25","1,184.50","1,174.00",-10.50,-0.89,"1,20,06,879","1,413.68","1,242.20",927.15,3.57,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng22.343.57,3.57,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,22.34,,3.57,,,,,,,,,,,,100.00
BRITANNIA,"5,465.00","5,514.10","5,311.45","5,486.65","5,432.95",-53.70,-0.98,"6,29,290",340.91,"5,725.00","4,347.70",8.40,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng16.608.40,8.40,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,16.60,,8.40,,,,,,,,,,,,100.00
CIPLA,"1,500.00","1,501.00","1,464.00","1,496.95","1,478.90",-18.05,-1.21,"16,05,121",236.74,"1,519.00",955.15,5.17,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng54.005.17,5.17,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,54.00,,5.17,,,,,,,,,,,,100.00
INDUSINDBK,"1,500.00","1,509.80","1,470.90","1,500.95","1,480.70",-20.25,-1.35,"32,79,450",488.16,"1,694.50","1,262.00",0.23,06-Jun-202306-May-2024Past 365 Days365 d % chngPast 30 Days30 d % chng14.930.23,0.23,0.00
06-Jun-2023,06-May-2024,,,,,,,,,,,,,,100.00
Past 365 Days,365 d % chng,Past 30 Days,30 d % chng,,,,,,,,,,,,100.00
,14.93,,0.23,,,,,,,,,,,,100.00
